Time,Temperature,Frequency,Capacitance [F],tand,Permittivity
6/19/2020 11:34:02 AM,20.000000E+0,100.000000E+0,1.000000E+0,0.000000E+0,25.000000E-3
6/19/2020 11:34:02 AM,21.000000E+0,316.227766E+0,2.718282E+0,490.010364E-3,67.957046E-3
6/19/2020 11:34:03 AM,22.000000E+0,1.000000E+3,7.389056E+0,971.070216E-3,184.726402E-3
6/19/2020 11:34:03 AM,23.000000E+0,3.162278E+3,20.085537E+0,638.115980E-3,502.138423E-3
6/19/2020 11:34:04 AM,24.000000E+0,10.000000E+3,54.598150E+0,1.707069E+0,1.364954E+0
6/19/2020 11:34:04 AM,25.000000E+0,31.622777E+3,148.413159E+0,4.782628E+0,3.710329E+0
6/19/2020 11:34:05 AM,26.000000E+0,100.000000E+3,403.428793E+0,5.801977E+0,10.085720E+0
6/19/2020 11:34:05 AM,21.000000E+0,100.000000E+0,2.718282E+0,843.293032E-3,67.957046E-3
6/19/2020 11:34:06 AM,22.000000E+0,316.227766E+0,7.389056E+0,1.586994E+0,184.726402E-3
6/19/2020 11:34:06 AM,23.000000E+0,1.000000E+3,20.085537E+0,1.416973E+0,502.138423E-3
6/19/2020 11:34:07 AM,24.000000E+0,3.162278E+3,54.598150E+0,272.372379E-3,1.364954E+0
6/19/2020 11:34:07 AM,25.000000E+0,10.000000E+3,148.413159E+0,1.390812E+0,3.710329E+0
6/19/2020 11:34:08 AM,26.000000E+0,31.622777E+3,403.428793E+0,4.688564E+0,10.085720E+0
6/19/2020 11:34:08 AM,27.000000E+0,100.000000E+3,1.096633E+3,784.380146E-3,27.415829E+0
6/19/2020 11:34:09 AM,22.000000E+0,100.000000E+0,7.389056E+0,34.557293E-3,184.726402E-3
6/19/2020 11:34:10 AM,23.000000E+0,316.227766E+0,20.085537E+0,14.665537E-3,502.138423E-3
6/19/2020 11:34:10 AM,24.000000E+0,1.000000E+3,54.598150E+0,3.220464E+0,1.364954E+0
6/19/2020 11:34:11 AM,25.000000E+0,3.162278E+3,148.413159E+0,586.652060E-3,3.710329E+0
6/19/2020 11:34:11 AM,26.000000E+0,10.000000E+3,403.428793E+0,3.416351E+0,10.085720E+0
6/19/2020 11:34:12 AM,27.000000E+0,31.622777E+3,1.096633E+3,2.701381E+0,27.415829E+0
6/19/2020 11:34:12 AM,28.000000E+0,100.000000E+3,2.980958E+3,4.226341E+0,74.523950E+0
6/19/2020 11:34:13 AM,23.000000E+0,100.000000E+0,20.085537E+0,1.301686E+0,502.138423E-3
6/19/2020 11:34:13 AM,24.000000E+0,316.227766E+0,54.598150E+0,432.695181E-3,1.364954E+0
6/19/2020 11:34:14 AM,25.000000E+0,1.000000E+3,148.413159E+0,1.611372E+0,3.710329E+0
6/19/2020 11:34:14 AM,26.000000E+0,3.162278E+3,403.428793E+0,3.945273E+0,10.085720E+0
6/19/2020 11:34:15 AM,27.000000E+0,10.000000E+3,1.096633E+3,485.285888E-3,27.415829E+0
6/19/2020 11:34:15 AM,28.000000E+0,31.622777E+3,2.980958E+3,1.947370E+0,74.523950E+0
6/19/2020 11:34:16 AM,29.000000E+0,100.000000E+3,8.103084E+3,1.562690E+0,202.577098E+0
6/19/2020 11:34:16 AM,24.000000E+0,100.000000E+0,54.598150E+0,899.465730E-3,1.364954E+0
6/19/2020 11:34:17 AM,25.000000E+0,316.227766E+0,148.413159E+0,4.774802E+0,3.710329E+0
6/19/2020 11:34:17 AM,26.000000E+0,1.000000E+3,403.428793E+0,1.211555E+0,10.085720E+0
6/19/2020 11:34:18 AM,27.000000E+0,3.162278E+3,1.096633E+3,4.906918E+0,27.415829E+0
6/19/2020 11:34:18 AM,28.000000E+0,10.000000E+3,2.980958E+3,7.248800E+0,74.523950E+0
6/19/2020 11:34:19 AM,29.000000E+0,31.622777E+3,8.103084E+3,6.708488E+0,202.577098E+0
6/19/2020 11:34:19 AM,30.000000E+0,100.000000E+3,22.026466E+3,578.965804E-3,550.661645E+0
6/19/2020 11:34:20 AM,25.000000E+0,100.000000E+0,148.413159E+0,776.875962E-3,3.710329E+0
6/19/2020 11:34:21 AM,26.000000E+0,316.227766E+0,403.428793E+0,1.963269E+0,10.085720E+0
6/19/2020 11:34:21 AM,27.000000E+0,1.000000E+3,1.096633E+3,1.781532E+0,27.415829E+0
