Time,Temperature,Frequency,Capacitance [F],tand,Permittivity
6/19/2020 8:39:24 AM,20.000000E+0,1.000000E+0,1.000000E+0,0.000000E+0,25.000000E-3
6/19/2020 8:39:24 AM,21.000000E+0,2.154435E+0,2.718282E+0,350.415697E-3,67.957046E-3
6/19/2020 8:39:25 AM,22.000000E+0,4.641589E+0,7.389056E+0,1.631889E+0,184.726402E-3
6/19/2020 8:39:25 AM,23.000000E+0,10.000000E+0,20.085537E+0,2.648700E+0,502.138423E-3
6/19/2020 8:39:26 AM,24.000000E+0,21.544347E+0,54.598150E+0,655.302881E-3,1.364954E+0
6/19/2020 8:39:26 AM,25.000000E+0,46.415888E+0,148.413159E+0,2.595346E+0,3.710329E+0
6/19/2020 8:39:27 AM,26.000000E+0,100.000000E+0,403.428793E+0,2.936311E+0,10.085720E+0
6/19/2020 8:39:27 AM,27.000000E+0,215.443469E+0,1.096633E+3,2.962179E+0,27.415829E+0
6/19/2020 8:39:28 AM,28.000000E+0,464.158883E+0,2.980958E+3,6.582523E+0,74.523950E+0
6/19/2020 8:39:28 AM,29.000000E+0,1.000000E+3,8.103084E+3,3.206306E+0,202.577098E+0
6/19/2020 8:39:29 AM,30.000000E+0,2.154435E+3,22.026466E+3,8.820314E+0,550.661645E+0
6/19/2020 8:39:29 AM,31.000000E+0,4.641589E+3,59.874142E+3,10.287655E+0,1.496854E+3
6/19/2020 8:39:30 AM,32.000000E+0,10.000000E+3,162.754791E+3,7.773997E+0,4.068870E+3
6/19/2020 8:39:30 AM,33.000000E+0,21.544347E+3,442.413392E+3,4.134203E+0,11.060335E+3
6/19/2020 8:39:31 AM,34.000000E+0,46.415888E+3,1.202604E+6,576.790020E-3,30.065107E+3
6/19/2020 8:39:31 AM,35.000000E+0,100.000000E+3,3.269017E+6,5.570223E+0,81.725434E+3
6/19/2020 8:39:32 AM,36.000000E+0,215.443469E+3,8.886111E+6,2.439822E+0,222.152763E+3
6/19/2020 8:39:32 AM,37.000000E+0,464.158883E+3,24.154953E+6,15.361539E+0,603.873819E+3
6/19/2020 8:39:33 AM,38.000000E+0,1.000000E+6,65.659969E+6,14.089179E+0,1.641499E+6
6/19/2020 8:39:33 AM,21.000000E+0,1.000000E+0,2.718282E+0,778.994034E-3,67.957046E-3
6/19/2020 8:39:34 AM,22.000000E+0,2.154435E+0,7.389056E+0,1.389514E+0,184.726402E-3
6/19/2020 8:39:34 AM,23.000000E+0,4.641589E+0,20.085537E+0,2.248354E+0,502.138423E-3
6/19/2020 8:39:35 AM,24.000000E+0,10.000000E+0,54.598150E+0,1.231040E+0,1.364954E+0
6/19/2020 8:39:35 AM,25.000000E+0,21.544347E+0,148.413159E+0,1.347590E+0,3.710329E+0
6/19/2020 8:39:36 AM,26.000000E+0,46.415888E+0,403.428793E+0,406.272778E-3,10.085720E+0
6/19/2020 8:39:36 AM,27.000000E+0,100.000000E+0,1.096633E+3,5.346091E+0,27.415829E+0
6/19/2020 8:39:37 AM,28.000000E+0,215.443469E+0,2.980958E+3,6.647041E+0,74.523950E+0
6/19/2020 8:39:37 AM,29.000000E+0,464.158883E+0,8.103084E+3,8.256450E+0,202.577098E+0
6/19/2020 8:39:38 AM,30.000000E+0,1.000000E+3,22.026466E+3,8.888236E+0,550.661645E+0
6/19/2020 8:39:38 AM,31.000000E+0,2.154435E+3,59.874142E+3,10.368028E+0,1.496854E+3
6/19/2020 8:39:39 AM,32.000000E+0,4.641589E+3,162.754791E+3,5.684586E+0,4.068870E+3
6/19/2020 8:39:39 AM,33.000000E+0,10.000000E+3,442.413392E+3,5.855088E+0,11.060335E+3
6/19/2020 8:39:40 AM,34.000000E+0,21.544347E+3,1.202604E+6,9.480100E+0,30.065107E+3
6/19/2020 8:39:40 AM,35.000000E+0,46.415888E+3,3.269017E+6,8.221073E+0,81.725434E+3
6/19/2020 8:39:41 AM,36.000000E+0,100.000000E+3,8.886111E+6,15.534803E+0,222.152763E+3
6/19/2020 8:39:41 AM,37.000000E+0,215.443469E+3,24.154953E+6,4.325146E+0,603.873819E+3
6/19/2020 8:39:42 AM,38.000000E+0,464.158883E+3,65.659969E+6,9.203839E+0,1.641499E+6
6/19/2020 8:39:42 AM,39.000000E+0,1.000000E+6,178.482301E+6,16.906223E+0,4.462058E+6
6/19/2020 8:39:43 AM,22.000000E+0,1.000000E+0,7.389056E+0,1.756492E+0,184.726402E-3
6/19/2020 8:39:43 AM,23.000000E+0,2.154435E+0,20.085537E+0,2.660188E+0,502.138423E-3
6/19/2020 8:39:44 AM,24.000000E+0,4.641589E+0,54.598150E+0,303.114542E-3,1.364954E+0
6/19/2020 8:39:44 AM,25.000000E+0,10.000000E+0,148.413159E+0,4.680817E+0,3.710329E+0
6/19/2020 8:39:45 AM,26.000000E+0,21.544347E+0,403.428793E+0,133.377810E-3,10.085720E+0
6/19/2020 8:39:45 AM,27.000000E+0,46.415888E+0,1.096633E+3,3.366270E+0,27.415829E+0
6/19/2020 8:39:46 AM,28.000000E+0,100.000000E+0,2.980958E+3,3.521348E+0,74.523950E+0
6/19/2020 8:39:46 AM,29.000000E+0,215.443469E+0,8.103084E+3,6.682422E+0,202.577098E+0
6/19/2020 8:39:47 AM,30.000000E+0,464.158883E+0,22.026466E+3,9.068103E+0,550.661645E+0
6/19/2020 8:39:47 AM,31.000000E+0,1.000000E+3,59.874142E+3,5.347324E+0,1.496854E+3
6/19/2020 8:39:48 AM,32.000000E+0,2.154435E+3,162.754791E+3,3.646806E+0,4.068870E+3
6/19/2020 8:39:48 AM,33.000000E+0,4.641589E+3,442.413392E+3,924.812180E-3,11.060335E+3
6/19/2020 8:39:49 AM,34.000000E+0,10.000000E+3,1.202604E+6,1.787724E+0,30.065107E+3
6/19/2020 8:39:49 AM,35.000000E+0,21.544347E+3,3.269017E+6,12.934757E+0,81.725434E+3
6/19/2020 8:39:50 AM,36.000000E+0,46.415888E+3,8.886111E+6,9.325901E+0,222.152763E+3
6/19/2020 8:39:50 AM,37.000000E+0,100.000000E+3,24.154953E+6,13.853653E+0,603.873819E+3
6/19/2020 8:39:51 AM,38.000000E+0,215.443469E+3,65.659969E+6,16.817647E+0,1.641499E+6
6/19/2020 8:39:51 AM,39.000000E+0,464.158883E+3,178.482301E+6,2.025473E+0,4.462058E+6
6/19/2020 8:39:52 AM,40.000000E+0,1.000000E+6,485.165195E+6,7.272136E+0,12.129130E+6
6/19/2020 8:39:53 AM,23.000000E+0,1.000000E+0,20.085537E+0,337.799581E-3,502.138423E-3
6/19/2020 8:39:53 AM,24.000000E+0,2.154435E+0,54.598150E+0,130.649636E-3,1.364954E+0
6/19/2020 8:39:54 AM,25.000000E+0,4.641589E+0,148.413159E+0,3.618324E+0,3.710329E+0
6/19/2020 8:39:54 AM,26.000000E+0,10.000000E+0,403.428793E+0,5.008130E+0,10.085720E+0
6/19/2020 8:39:55 AM,27.000000E+0,21.544347E+0,1.096633E+3,1.506444E+0,27.415829E+0
6/19/2020 8:39:55 AM,28.000000E+0,46.415888E+0,2.980958E+3,2.032090E+0,74.523950E+0
6/19/2020 8:39:56 AM,29.000000E+0,100.000000E+0,8.103084E+3,1.511498E+0,202.577098E+0
6/19/2020 8:39:56 AM,30.000000E+0,215.443469E+0,22.026466E+3,7.039757E+0,550.661645E+0
6/19/2020 8:39:57 AM,31.000000E+0,464.158883E+0,59.874142E+3,9.784170E+0,1.496854E+3
6/19/2020 8:39:57 AM,32.000000E+0,1.000000E+3,162.754791E+3,11.156535E+0,4.068870E+3
6/19/2020 8:39:58 AM,33.000000E+0,2.154435E+3,442.413392E+3,4.494565E+0,11.060335E+3
6/19/2020 8:39:58 AM,34.000000E+0,4.641589E+3,1.202604E+6,8.532792E+0,30.065107E+3
6/19/2020 8:39:59 AM,35.000000E+0,10.000000E+3,3.269017E+6,6.168748E+0,81.725434E+3
6/19/2020 8:39:59 AM,36.000000E+0,21.544347E+3,8.886111E+6,5.868719E+0,222.152763E+3
6/19/2020 8:40:00 AM,37.000000E+0,46.415888E+3,24.154953E+6,9.322973E+0,603.873819E+3
6/19/2020 8:40:00 AM,38.000000E+0,100.000000E+3,65.659969E+6,750.231446E-3,1.641499E+6
6/19/2020 8:40:01 AM,39.000000E+0,215.443469E+3,178.482301E+6,4.188104E+0,4.462058E+6
6/19/2020 8:40:01 AM,40.000000E+0,464.158883E+3,485.165195E+6,13.196850E+0,12.129130E+6
6/19/2020 8:40:02 AM,41.000000E+0,1.000000E+6,1.318816E+9,11.269460E+0,32.970393E+6
6/19/2020 8:40:02 AM,24.000000E+0,1.000000E+0,54.598150E+0,3.683787E+0,1.364954E+0
6/19/2020 8:40:03 AM,25.000000E+0,2.154435E+0,148.413159E+0,949.481073E-3,3.710329E+0
6/19/2020 8:40:03 AM,26.000000E+0,4.641589E+0,403.428793E+0,2.665018E+0,10.085720E+0
6/19/2020 8:40:04 AM,27.000000E+0,10.000000E+0,1.096633E+3,1.634922E+0,27.415829E+0
6/19/2020 8:40:04 AM,28.000000E+0,21.544347E+0,2.980958E+3,294.772869E-3,74.523950E+0
6/19/2020 8:40:05 AM,29.000000E+0,46.415888E+0,8.103084E+3,3.940403E+0,202.577098E+0
6/19/2020 8:40:05 AM,30.000000E+0,100.000000E+0,22.026466E+3,1.468084E+0,550.661645E+0
6/19/2020 8:40:06 AM,31.000000E+0,215.443469E+0,59.874142E+3,1.771322E+0,1.496854E+3
