Time,Temperature,Frequency,Capacitance [F],tand,Permittivity
6/19/2020 9:05:49 AM,20.000000E+0,1.000000E+0,1.000000E+0,0.000000E+0,25.000000E-3
6/19/2020 9:05:50 AM,21.000000E+0,2.154435E+0,2.718282E+0,972.725173E-3,67.957046E-3
6/19/2020 9:05:50 AM,22.000000E+0,4.641589E+0,7.389056E+0,1.728388E+0,184.726402E-3
6/19/2020 9:05:51 AM,23.000000E+0,10.000000E+0,20.085537E+0,1.062478E+0,502.138423E-3
6/19/2020 9:05:51 AM,24.000000E+0,21.544347E+0,54.598150E+0,2.607846E+0,1.364954E+0
6/19/2020 9:05:52 AM,25.000000E+0,46.415888E+0,148.413159E+0,2.252472E+0,3.710329E+0
6/19/2020 9:05:52 AM,26.000000E+0,100.000000E+0,403.428793E+0,160.610519E-3,10.085720E+0
6/19/2020 9:05:53 AM,21.000000E+0,1.000000E+0,2.718282E+0,613.689965E-3,67.957046E-3
6/19/2020 9:05:53 AM,22.000000E+0,2.154435E+0,7.389056E+0,77.428700E-3,184.726402E-3
6/19/2020 9:05:54 AM,23.000000E+0,4.641589E+0,20.085537E+0,2.757022E+0,502.138423E-3
6/19/2020 9:05:54 AM,24.000000E+0,10.000000E+0,54.598150E+0,2.890566E+0,1.364954E+0
6/19/2020 9:05:55 AM,25.000000E+0,21.544347E+0,148.413159E+0,4.199974E+0,3.710329E+0
6/19/2020 9:05:55 AM,26.000000E+0,46.415888E+0,403.428793E+0,3.162297E+0,10.085720E+0
6/19/2020 9:05:56 AM,27.000000E+0,100.000000E+0,1.096633E+3,868.356793E-3,27.415829E+0
6/19/2020 9:05:57 AM,22.000000E+0,1.000000E+0,7.389056E+0,18.860042E-3,184.726402E-3
6/19/2020 9:05:57 AM,23.000000E+0,2.154435E+0,20.085537E+0,822.018366E-3,502.138423E-3
6/19/2020 9:05:58 AM,24.000000E+0,4.641589E+0,54.598150E+0,637.355990E-3,1.364954E+0
6/19/2020 9:05:58 AM,25.000000E+0,10.000000E+0,148.413159E+0,4.289733E+0,3.710329E+0
6/19/2020 9:05:59 AM,26.000000E+0,21.544347E+0,403.428793E+0,967.552427E-3,10.085720E+0
6/19/2020 9:05:59 AM,27.000000E+0,46.415888E+0,1.096633E+3,2.024331E+0,27.415829E+0
6/19/2020 9:06:00 AM,28.000000E+0,100.000000E+0,2.980958E+3,563.500315E-3,74.523950E+0
6/19/2020 9:06:00 AM,23.000000E+0,1.000000E+0,20.085537E+0,2.798180E+0,502.138423E-3
6/19/2020 9:06:01 AM,24.000000E+0,2.154435E+0,54.598150E+0,272.988374E-3,1.364954E+0
