Time,Temperature,Frequency,Capacitance [F],tand,Permittivity
6/19/2020 9:15:10 AM,20.000000E+0,1.000000E+0,1.000000E+0,0.000000E+0,25.000000E-3
6/19/2020 9:15:10 AM,21.000000E+0,3.162278E+0,2.718282E+0,622.023097E-3,67.957046E-3
6/19/2020 9:15:11 AM,22.000000E+0,10.000000E+0,7.389056E+0,1.617462E+0,184.726402E-3
6/19/2020 9:15:11 AM,23.000000E+0,31.622777E+0,20.085537E+0,1.494889E+0,502.138423E-3
6/19/2020 9:15:12 AM,24.000000E+0,100.000000E+0,54.598150E+0,1.964047E+0,1.364954E+0
6/19/2020 9:15:12 AM,25.000000E+0,316.227766E+0,148.413159E+0,3.976528E+0,3.710329E+0
6/19/2020 9:15:13 AM,26.000000E+0,1.000000E+3,403.428793E+0,4.538563E+0,10.085720E+0
6/19/2020 9:15:13 AM,27.000000E+0,3.162278E+3,1.096633E+3,1.155170E+0,27.415829E+0
6/19/2020 9:15:14 AM,28.000000E+0,10.000000E+3,2.980958E+3,3.081943E+0,74.523950E+0
6/19/2020 9:15:14 AM,29.000000E+0,31.622777E+3,8.103084E+3,6.838367E+0,202.577098E+0
6/19/2020 9:15:15 AM,30.000000E+0,100.000000E+3,22.026466E+3,6.912325E+0,550.661645E+0
6/19/2020 9:15:15 AM,31.000000E+0,316.227766E+3,59.874142E+3,7.250010E+0,1.496854E+3
6/19/2020 9:15:16 AM,32.000000E+0,1.000000E+6,162.754791E+3,11.839758E+0,4.068870E+3
6/19/2020 9:15:17 AM,21.000000E+0,1.000000E+0,2.718282E+0,586.302594E-3,67.957046E-3
6/19/2020 9:15:17 AM,22.000000E+0,3.162278E+0,7.389056E+0,1.108052E+0,184.726402E-3
