Time,Temperature,Frequency,Capacitance [F],tand,Permittivity
6/16/2020 1:42:16 PM,20.000000E+0,1.000000E+0,1.000000E+0,0.000000E+0,25.000000E-3
6/16/2020 1:42:16 PM,21.000000E+0,2.154435E+0,2.718282E+0,655.702274E-3,67.957046E-3
6/16/2020 1:42:17 PM,22.000000E+0,4.641589E+0,7.389056E+0,1.352880E+0,184.726402E-3
6/16/2020 1:42:17 PM,23.000000E+0,10.000000E+0,20.085537E+0,1.810730E+0,502.138423E-3
6/16/2020 1:42:18 PM,24.000000E+0,21.544347E+0,54.598150E+0,2.232789E+0,1.364954E+0
6/16/2020 1:42:18 PM,25.000000E+0,46.415888E+0,148.413159E+0,4.347663E+0,3.710329E+0
6/16/2020 1:42:19 PM,26.000000E+0,100.000000E+0,403.428793E+0,5.387282E+0,10.085720E+0
6/16/2020 1:42:19 PM,27.000000E+0,215.443469E+0,1.096633E+3,4.104887E+0,27.415829E+0
6/16/2020 1:42:20 PM,28.000000E+0,464.158883E+0,2.980958E+3,1.853335E+0,74.523950E+0
6/16/2020 1:42:20 PM,29.000000E+0,1.000000E+3,8.103084E+3,366.056508E-3,202.577098E+0
6/16/2020 1:42:21 PM,30.000000E+0,2.154435E+3,22.026466E+3,5.011284E+0,550.661645E+0
6/16/2020 1:42:21 PM,31.000000E+0,4.641589E+3,59.874142E+3,9.895706E+0,1.496854E+3
6/16/2020 1:42:22 PM,32.000000E+0,10.000000E+3,162.754791E+3,10.389793E+0,4.068870E+3
6/16/2020 1:42:22 PM,33.000000E+0,21.544347E+3,442.413392E+3,10.073038E+0,11.060335E+3
6/16/2020 1:42:23 PM,34.000000E+0,46.415888E+3,1.202604E+6,8.878133E+0,30.065107E+3
6/16/2020 1:42:23 PM,35.000000E+0,100.000000E+3,3.269017E+6,2.947746E+0,81.725434E+3
6/16/2020 1:42:24 PM,36.000000E+0,215.443469E+3,8.886111E+6,15.660626E+0,222.152763E+3
6/16/2020 1:42:24 PM,37.000000E+0,464.158883E+3,24.154953E+6,8.325271E+0,603.873819E+3
6/16/2020 1:42:25 PM,21.000000E+0,1.000000E+0,2.718282E+0,624.765175E-3,67.957046E-3
6/16/2020 1:42:26 PM,22.000000E+0,2.154435E+0,7.389056E+0,1.674747E+0,184.726402E-3
6/16/2020 1:42:26 PM,23.000000E+0,4.641589E+0,20.085537E+0,1.739542E+0,502.138423E-3
6/16/2020 1:42:27 PM,24.000000E+0,10.000000E+0,54.598150E+0,988.775982E-3,1.364954E+0
6/16/2020 1:42:27 PM,25.000000E+0,21.544347E+0,148.413159E+0,3.452080E+0,3.710329E+0
6/16/2020 1:42:28 PM,26.000000E+0,46.415888E+0,403.428793E+0,2.281178E+0,10.085720E+0
6/16/2020 1:42:28 PM,27.000000E+0,100.000000E+0,1.096633E+3,1.627306E+0,27.415829E+0
6/16/2020 1:42:29 PM,28.000000E+0,215.443469E+0,2.980958E+3,2.631965E+0,74.523950E+0
6/16/2020 1:42:29 PM,29.000000E+0,464.158883E+0,8.103084E+3,4.596379E+0,202.577098E+0
6/16/2020 1:42:30 PM,30.000000E+0,1.000000E+3,22.026466E+3,4.068627E+0,550.661645E+0
6/16/2020 1:42:30 PM,31.000000E+0,2.154435E+3,59.874142E+3,6.575869E+0,1.496854E+3
6/16/2020 1:42:31 PM,32.000000E+0,4.641589E+3,162.754791E+3,2.163613E+0,4.068870E+3
6/16/2020 1:42:31 PM,33.000000E+0,10.000000E+3,442.413392E+3,3.743566E+0,11.060335E+3
6/16/2020 1:42:32 PM,34.000000E+0,21.544347E+3,1.202604E+6,11.227256E+0,30.065107E+3
6/16/2020 1:42:32 PM,35.000000E+0,46.415888E+3,3.269017E+6,3.400036E+0,81.725434E+3
6/16/2020 1:42:33 PM,36.000000E+0,100.000000E+3,8.886111E+6,5.252969E+0,222.152763E+3
6/16/2020 1:42:33 PM,37.000000E+0,215.443469E+3,24.154953E+6,14.822261E+0,603.873819E+3
6/16/2020 1:42:34 PM,38.000000E+0,464.158883E+3,65.659969E+6,10.170757E+0,1.641499E+6
6/16/2020 1:42:34 PM,22.000000E+0,1.000000E+0,7.389056E+0,223.055892E-3,184.726402E-3
6/16/2020 1:42:35 PM,23.000000E+0,2.154435E+0,20.085537E+0,68.295296E-3,502.138423E-3
6/16/2020 1:42:35 PM,24.000000E+0,4.641589E+0,54.598150E+0,542.110803E-3,1.364954E+0
6/16/2020 1:42:36 PM,25.000000E+0,10.000000E+0,148.413159E+0,3.583820E+0,3.710329E+0
6/16/2020 1:42:36 PM,26.000000E+0,21.544347E+0,403.428793E+0,2.056176E+0,10.085720E+0
6/16/2020 1:42:37 PM,27.000000E+0,46.415888E+0,1.096633E+3,5.239316E+0,27.415829E+0
6/16/2020 1:42:37 PM,28.000000E+0,100.000000E+0,2.980958E+3,783.208385E-3,74.523950E+0
6/16/2020 1:42:38 PM,29.000000E+0,215.443469E+0,8.103084E+3,3.112050E+0,202.577098E+0
6/16/2020 1:42:38 PM,30.000000E+0,464.158883E+0,22.026466E+3,1.087888E+0,550.661645E+0
6/16/2020 1:42:39 PM,31.000000E+0,1.000000E+3,59.874142E+3,1.801188E+0,1.496854E+3
6/16/2020 1:42:39 PM,32.000000E+0,2.154435E+3,162.754791E+3,1.122086E+0,4.068870E+3
6/16/2020 1:42:40 PM,33.000000E+0,4.641589E+3,442.413392E+3,4.006946E+0,11.060335E+3
6/16/2020 1:42:40 PM,34.000000E+0,10.000000E+3,1.202604E+6,11.562125E+0,30.065107E+3
6/16/2020 1:42:41 PM,35.000000E+0,21.544347E+3,3.269017E+6,1.461422E+0,81.725434E+3
6/16/2020 1:42:41 PM,36.000000E+0,46.415888E+3,8.886111E+6,11.012172E+0,222.152763E+3
6/16/2020 1:42:42 PM,37.000000E+0,100.000000E+3,24.154953E+6,622.236632E-3,603.873819E+3
6/16/2020 1:42:42 PM,38.000000E+0,215.443469E+3,65.659969E+6,12.414903E+0,1.641499E+6
